disYear,disMonth,disDate,disDay,disQuantity,disQuantityRate,disCount,disCountRate
2018,12,22,7,1989979447,3.0,977960,3.07
2018,12,23,1,2247150176,3.39,1125783,3.54
2018,12,24,2,2227886153,3.36,1020876,3.21
2018,12,25,3,2155972575,3.25,1058424,3.33
2018,12,26,4,2158674236,3.25,1043643,3.28
2018,12,27,5,1752433658,2.64,869930,2.73
2018,12,28,6,1758682040,2.65,874587,2.75
2018,12,29,7,1926746727,2.9,938049,2.95
2018,12,30,1,2172179746,3.27,1078528,3.39
2018,12,31,2,2408531687,3.63,1088432,3.42
