citySidoName,citySggName,2020_total_ingu,2020_man_ingu,2020_woman_ingu,2019_total_ingu,2019_man_ingu,2019_woman_ingu,2018_total_ingu,2018_man_ingu,2018_woman_ingu
경기도,광명시,298599,147278,151321,316552,156405,160147,326841,161734,165107
경기도,평택시,537307,277617,259690,513027,264012,249015,495642,254336,241306
경기도,동두천시,94353,47038,47315,94768,47308,47460,96226,47988,48238
경기도,안산시,654915,335804,319111,650918,333766,317152,660343,338701,321642
경기도,상록구,351888,179452,172436,344613,175789,168824,356311,181742,174569
경기도,단원구,303027,156352,146675,306305,157977,148328,304032,156959,147073
경기도,고양시,1079216,528480,550736,1066351,522749,543602,1044189,512359,531830
경기도,덕양구,476962,235773,241189,466157,230858,235299,450449,223323,227126
경기도,일산동구,299716,145874,153842,297671,144991,152680,296223,144394,151829
경기도,일산서구,302538,146833,155705,302523,146900,155623,297517,144642,152875
경기도,과천시,63231,31068,32163,58289,28638,29651,58142,28423,29719
경기도,구리시,197454,97939,99515,199265,98968,100297,203553,101084,102469
경기도,남양주시,713321,355197,358124,701830,349664,352166,681828,340030,341798
경기도,오산시,229725,118785,110940,226379,116904,109475,220070,113237,106833
경기도,시흥시,500895,261730,239165,473682,247804,225878,448687,234840,213847
경기도,군포시,273791,135834,137957,275852,136878,138974,276916,137536,139380
경기도,의왕시,163795,81470,82325,161153,80353,80800,153932,76834,77098
경기도,하남시,293452,147424,146028,272455,136985,135470,254415,127865,126550
경기도,용인시,1074176,532847,541329,1059609,525946,533663,1035126,514127,520999
경기도,처인구,257498,131974,125524,253896,130034,123862,249118,127616,121502
경기도,기흥구,440835,217663,223172,436679,215796,220883,427719,211619,216100
경기도,수지구,375843,183210,192633,369034,180116,188918,358289,174892,183397
경기도,파주시,465617,236049,229568,454040,230461,223579,451848,229250,222598
경기도,이천시,218388,112947,105441,215834,111244,104590,214206,109878,104328
경기도,안성시,187012,96355,90657,183405,94227,89178,183579,94095,89484
경기도,김포시,473970,237507,236463,437221,219552,217669,423170,212410,210760
경기도,화성시,855248,443841,411407,815396,422470,392926,758722,392871,365851
경기도,광주시,382054,195298,186756,372654,190774,181880,363782,186309,177473
경기도,양주시,230359,116916,113443,222314,112775,109539,216951,109978,106973
경기도,포천시,147274,77905,69369,148379,78231,70148,150676,79310,71366
경기도,여주시,111897,56838,55059,111083,56427,54656,111525,56479,55046
경기도,연천군,43516,22799,20717,43824,22962,20862,44633,23364,21269
경기도,가평군,62377,32156,30221,62415,32042,30373,62918,32288,30630
경기도,양평군,118810,59563,59247,116874,58654,58220,116095,58396,57699
강원도,춘천시,282765,139576,143189,281291,138700,142591,280640,138243,142397
강원도,원주시,354376,175939,178437,349215,173425,175790,344070,171048,173022
강원도,강릉시,213321,105794,107527,213442,105893,107549,212957,105697,107260
강원도,동해시,90593,45991,44602,90522,45845,44677,91272,46212,45060
강원도,태백시,42719,21640,21079,43866,22168,21698,44858,22612,22246
강원도,속초시,82665,40965,41700,81786,40420,41366,81682,40248,41434
강원도,삼척시,65243,33011,32232,67228,34038,33190,68326,34587,33739
강원도,홍천군,69242,35663,33579,69150,35359,33791,69949,35671,34278
강원도,횡성군,46472,23822,22650,46575,23785,22790,46726,23828,22898
강원도,영월군,38662,19986,18676,39127,20143,18984,39730,20493,19237
